latC,lonC,ts
69.5,-168.25,1.7488967460701195e-06
69.5,-167.75,1.4555839443417624e-06
69.5,-167.25,1.349326043198916e-06
69.5,-166.75,2.15688022327459e-06
69.5,-166.25,1.975442454574828e-06
69.5,-165.75,3.867538623684908e-06
69.5,-164.75,3.946103755168563e-07
70.0,-168.25,5.129709911364319e-06
70.0,-167.75,4.5155241693566e-06
70.0,-167.25,2.0184255969657456e-06
70.0,-166.75,3.720944906141059e-06
70.0,-166.25,4.76557865420872e-06
70.0,-165.75,4.171082112550045e-06
70.0,-165.25,4.9038279138883295e-06
70.0,-164.25,5.2024422322963915e-06
70.5,-168.25,2.51478235387182e-06
70.5,-167.75,3.1362378179781337e-06
70.5,-167.25,3.2076082357453305e-06
70.5,-166.75,2.141900983802213e-06
70.5,-166.25,3.356145354877985e-06
70.5,-165.75,1.790291302153563e-06
70.5,-165.25,1.350654988098122e-06
70.5,-164.75,2.6701889823605132e-06
70.5,-164.25,3.667999786404459e-06
70.5,-163.75,3.3977288331721984e-06
70.5,-163.25,3.182559008000104e-06
70.5,-162.75,3.446271117623513e-06
71.0,-168.25,2.9387560245059335e-06
71.0,-167.75,2.6200221096333947e-06
71.0,-167.25,3.019381029089775e-06
71.0,-166.75,3.0014594273963914e-06
71.0,-166.25,2.7838386088575614e-06
71.0,-165.75,2.7238431502701854e-06
71.0,-165.25,1.99267095636182e-06
71.0,-164.75,1.2332166283838062e-06
71.0,-164.25,2.3940918953436133e-06
71.0,-163.75,2.1766264685000547e-06
71.0,-163.25,2.3783490957436188e-06
71.0,-162.75,2.3983295861131784e-06
71.0,-162.25,2.735058068867144e-06
