,x,y
0,201.5,1.1743693819945538e-06
1,202.0,1.192055688242467e-06
2,202.5,2.4752659135947266e-06
3,203.0,2.127846190234686e-06
4,203.5,1.7181572135311253e-06
5,204.0,1.942198133236777e-06
6,204.5,2.00268974568446e-06
7,205.0,1.9823652957840466e-06
8,205.5,2.494953023118024e-06
9,206.0,2.052486234837213e-06
10,206.5,1.9042648722956475e-06
11,207.0,1.8882303108432652e-06
12,207.5,1.5623010773096412e-06
13,208.0,1.7326489864882082e-06
14,208.5,1.9047040349934836e-06
15,209.0,1.717664972181531e-06
16,209.5,2.1063707777613556e-06
17,210.0,1.6716545761024791e-06
18,210.5,1.8127109502502886e-06
19,211.0,2.0236647200946027e-06
20,211.5,2.0297091057595295e-06
21,212.0,1.2523752614098682e-06
22,212.5,1.3196234970173123e-06
23,213.0,1.5214269622133972e-06
24,213.5,2.54476034093522e-06
25,214.0,2.664947837837015e-06
26,214.5,5.374279893640516e-06
27,215.0,2.7712741456247624e-06
28,215.5,3.0652827568383536e-06
29,204.5,1.4523769160406368e-06
30,205.0,6.847037088091882e-07
31,205.5,9.338578215304139e-07
32,206.0,2.0149914346159e-06
33,206.5,1.515366800436242e-06
34,207.0,9.700013972598559e-07
35,207.5,7.805602666464577e-07
36,208.0,1.507242395651096e-06
37,208.5,1.4979632293867974e-06
38,209.0,6.881629631952216e-07
39,209.5,1.4059272383866223e-06
40,210.0,1.7207721936821442e-06
41,210.5,1.9039593468486235e-06
42,211.0,1.5028196072019952e-06
43,211.5,1.6615752174067288e-06
44,212.0,1.9673591314468633e-06
45,212.5,1.6252235755988997e-06
46,213.0,1.2956499689037013e-06
47,213.5,1.5021273308179708e-06
48,214.0,1.595579423899275e-06
49,214.5,1.7045067998168101e-06
50,215.0,1.7406000294036437e-06
51,215.5,2.4287780916681203e-06
52,216.0,2.1524003867377494e-06
53,216.5,2.051174976179358e-06
54,217.0,2.112297588724926e-06
55,217.5,1.8149795254637774e-06
56,218.0,1.7669355612473843e-06
57,218.5,2.6903002847760013e-06
58,219.0,3.915724588809212e-06
59,219.5,2.545378723335554e-06
60,220.0,3.0479797136975798e-06
61,220.5,3.3042050627270846e-06
62,221.0,2.736102886894625e-06
63,221.5,2.4738478134172705e-06
64,222.0,2.151323145151904e-06
65,222.5,2.641665333584427e-06
66,223.0,3.1990992716055727e-06
67,223.5,2.2694686672175396e-06
68,224.0,1.47490422844994e-06
69,224.5,2.402748783101524e-06
70,225.5,2.6815551789290115e-06
71,226.0,2.911363232218947e-06
72,226.5,2.07241345875824e-06
73,227.0,2.122270731900183e-06
74,227.5,2.47353566753701e-06
75,228.0,2.803591521844748e-06
76,228.5,2.948641526013198e-06
77,229.0,
78,229.5,
79,230.0,
80,230.5,
81,231.0,
82,231.5,
83,232.0,
84,232.5,
85,233.0,
86,233.5,
87,234.0,
88,234.5,3.2642695213839813e-06
89,235.0,2.1640089682998605e-06
90,235.5,2.7303454567250933e-06
91,236.0,2.6077108467968655e-06
92,236.5,3.705299042944808e-06
93,237.0,3.512607859018014e-06
94,237.5,3.505094266352196e-06
95,238.0,4.7510980267711316e-06
96,238.5,4.285191253628745e-06
97,239.0,5.234650247500696e-06
98,239.5,3.1965118297050294e-06
99,240.0,1.3920042455372072e-06
100,240.5,1.4721321356218722e-06
101,242.5,2.8985423956538324e-06
102,243.0,2.5009735372644855e-06
103,243.5,2.4950928509788145e-06
104,244.0,2.1747294438350083e-06
105,244.5,4.092765893824305e-06
106,245.0,4.961796876779657e-06
107,245.5,4.330043418053819e-06
108,246.0,1.8538076491895175e-06
109,246.5,2.2879190648129283e-06
110,247.0,2.5324434147767612e-06
111,247.5,3.838918874115327e-06
112,248.0,5.991726419194613e-06
113,248.5,6.36775375912019e-06
114,249.0,3.975784990978602e-06
115,249.5,3.695098187573014e-06
116,250.0,7.466762847915851e-06
117,250.5,5.065565068832468e-06
118,251.0,2.606811833565134e-06
119,251.5,2.6832102389779606e-06
120,252.0,3.5638715216446906e-06
121,252.5,2.696616731462985e-06
122,253.0,2.4826025239362028e-06
123,253.5,2.4948984315563083e-06
124,254.0,3.944532364209104e-06
125,254.5,2.6583173920601508e-06
